10,3.96e-07,
20,1.528e-06,
30,3.435e-06,
40,6.712e-06,
50,1.1602e-05,
60,1.5669e-05,
70,1.9428e-05,
80,2.7667e-05,
90,3.0857e-05,
100,3.729e-05,
110,4.7393e-05,
120,5.9954e-05,
130,6.5176e-05,
140,7.2407e-05,
150,8.5007e-05,
160,9.5917e-05,
170,0.000104771,
180,0.000121584,
190,0.000130605,
200,0.000146106,
210,0.000162134,
220,0.000174867,
230,0.000191366,
240,0.00020473,
250,0.000226576,
260,0.000237128,
270,0.000259968,
280,0.000273895,
290,0.000297547,
300,0.000322814,
310,0.000331894,
320,0.000354776,
330,0.000374443,
340,0.000398661,
350,0.000398292,
360,0.000400819,
370,0.000472034,
380,0.000498204,
390,0.000515129,
400,0.000555461,
410,0.000572609,
420,0.000597576,
430,0.000629848,
440,0.000654775,
450,0.000678644,
460,0.000719509,
470,0.000740885,
480,0.000769411,
490,0.000807469,
500,0.000843629,
510,0.000869645,
520,0.000904241,
530,0.000943827,
540,0.000978496,
550,0.000999471,
560,0.00103783,
570,0.00108052,
580,0.00110723,
590,0.00114363,
600,0.00119327,
610,0.00122521,
620,0.001264,
630,0.00130285,
640,0.00133892,
650,0.00123666,
660,0.00125206,
670,0.0013435,
680,0.00143893,
690,0.00149572,
700,0.00154305,
710,0.00154372,
720,0.00157665,
730,0.00157178,
740,0.00169504,
750,0.00173866,
760,0.00176283,
770,0.00182812,
780,0.0019397,
790,0.00198448,
800,0.00202866,
810,0.002074,
820,0.0021251,
830,0.00217156,
840,0.00221723,
850,0.00228698,
860,0.00231741,
870,0.00238661,
880,0.00244966,
890,0.0025068,
900,0.00252742,
910,0.00258536,
920,0.00263993,
930,0.00271223,
940,0.00276997,
950,0.00282828,
960,0.00285784,
970,0.00291159,
980,0.00296412,
990,0.00305147,
1000,0.00310563,
1010,0.00318459,
1020,0.00322389,
1030,0.00331476,
1040,0.00335798,
1050,0.00343549,
1060,0.00349081,
1070,0.00355517,
1080,0.00361818,
1090,0.00368207,
1100,0.00376044,
1110,0.00380882,
1120,0.00389085,
1130,0.0039665,
1140,0.00404701,
1150,0.00411743,
1160,0.00418425,
1170,0.00426965,
1180,0.00434993,
1190,0.0044008,
1200,0.00447559,
1210,0.00455025,
1220,0.00464958,
1230,0.0046941,
1240,0.00479675,
1250,0.00487332,
1260,0.00495697,
1270,0.00503947,
1280,0.0051248,
1290,0.0051697,
1300,0.00526323,
1310,0.00534766,
1320,0.00543825,
1330,0.00552265,
1340,0.0055916,
1350,0.00570772,
1360,0.00576144,
1370,0.00585604,
1380,0.00593992,
1390,0.00602115,
1400,0.00612993,
1410,0.00621069,
1420,0.00627921,
1430,0.00636535,
1440,0.00644367,
1450,0.0065568,
1460,0.00667717,
1470,0.00677125,
1480,0.00686196,
1490,0.00698113,
1500,0.0070559,
1510,0.00716563,
1520,0.0072312,
1530,0.00733379,
1540,0.0074607,
1550,0.00756347,
1560,0.00764588,
1570,0.00774737,
1580,0.00784759,
1590,0.00792803,
1600,0.00804363,
1610,0.00818094,
1620,0.00834734,
1630,0.00842339,
1640,0.00843063,
1650,0.00862232,
1660,0.00867614,
1670,0.00878263,
1680,0.00888675,
1690,0.00898836,
1700,0.00909186,
1710,0.00919303,
1720,0.00933668,
1730,0.00942548,
1740,0.00953374,
1750,0.00969345,
1760,0.00974421,
1770,0.0099366,
1780,0.0100019,
1790,0.0101419,
1800,0.010257,
1810,0.0103679,
1820,0.0104653,
1830,0.0105912,
1840,0.0107354,
1850,0.0108458,
1860,0.0109531,
1870,0.0111016,
1880,0.0112088,
1890,0.0113317,
1900,0.0114893,
1910,0.011598,
1920,0.0116967,
1930,0.0118262,
1940,0.0119598,
1950,0.0120539,
1960,0.0121999,
1970,0.0124141,
1980,0.0125383,
1990,0.0126474,
2000,0.0127672,
2010,0.0129477,
2020,0.0129912,
2030,0.0131149,
2040,0.0132657,
2050,0.013378,
2060,0.0135271,
2070,0.0136888,
2080,0.0138145,
2090,0.0139349,
2100,0.0140321,
2110,0.0141906,
2120,0.0143622,
2130,0.0144821,
2140,0.0145783,
2150,0.0149154,
2160,0.0149579,
2170,0.0151194,
2180,0.0152515,
2190,0.0154201,
2200,0.0155221,
2210,0.0156771,
2220,0.0157404,
2230,0.0158928,
2240,0.016125,
2250,0.0166821,
2260,0.0164195,
2270,0.0165615,
2280,0.0167299,
2290,0.0168306,
2300,0.0169902,
2310,0.0171759,
2320,0.0173236,
2330,0.0174758,
2340,0.0175595,
2350,0.0177596,
2360,0.0178809,
2370,0.0180433,
2380,0.018162,
2390,0.0191974,
2400,0.0186079,
2410,0.0187605,
2420,0.0188483,
2430,0.0190576,
2440,0.0191915,
2450,0.0193696,
2460,0.0195566,
2470,0.0198605,
2480,0.0199863,
2490,0.0202686,
2500,0.0204052,
2510,0.0204991,
2520,0.0207184,
2530,0.0209779,
2540,0.0210616,
2550,0.0211267,
2560,0.0212411,
2570,0.0214455,
2580,0.0217248,
2590,0.0220221,
2600,0.0222257,
2610,0.0223809,
2620,0.0226585,
2630,0.0227299,
2640,0.0229337,
2650,0.023098,
2660,0.0233193,
2670,0.0236464,
2680,0.0242549,
2690,0.024602,
2700,0.0236816,
2710,0.0238914,
2720,0.0241291,
2730,0.0244561,
2740,0.0247697,
2750,0.025008,
2760,0.0250568,
2770,0.0252974,
2780,0.0253671,
2790,0.025745,
2800,0.0258567,
2810,0.0260308,
2820,0.0260881,
2830,0.0262866,
2840,0.026553,
2850,0.0268308,
2860,0.0270447,
2870,0.0270307,
2880,0.0271793,
